model,h,q5,q10,q25,q50,q75,q90,q95
AR,1,1.1618,1.4581,1.9559,2.5007,3.0462,3.5392,3.8377
TrendCyc,1,1.1735,1.4632,1.9545,2.5015,3.0468,3.5447,3.8416
AR,2,0.8603,1.22,1.828,2.5032,3.1694,3.7639,4.1228
TrendCyc,2,0.8697,1.236,1.8376,2.5102,3.1707,3.7643,4.123
AR,3,0.7323,1.1224,1.7772,2.5058,3.2273,3.8723,4.2536
TrendCyc,3,0.745,1.1397,1.7791,2.505,3.2256,3.8722,4.2657
AR,4,0.6812,1.0821,1.7455,2.4987,3.2375,3.9146,4.3082
TrendCyc,4,0.689,1.0855,1.7485,2.5041,3.2545,3.9237,4.3187
AR,5,0.6628,1.0648,1.7411,2.4976,3.252,3.9389,4.3475
TrendCyc,5,0.6331,1.0501,1.7453,2.504,3.2622,3.9409,4.3658
AR,6,0.6403,1.053,1.7305,2.4978,3.2595,3.9457,4.3505
TrendCyc,6,0.6361,1.0492,1.7359,2.5043,3.2735,3.9658,4.3859
AR,7,0.6396,1.0533,1.7294,2.493,3.2541,3.943,4.3504
TrendCyc,7,0.6205,1.0396,1.7357,2.4978,3.2712,3.9729,4.3951
AR,8,0.6322,1.0435,1.7259,2.4965,3.2562,3.9456,4.3543
TrendCyc,8,0.5963,1.0281,1.7223,2.4973,3.2779,3.973,4.3943
AR,9,0.6171,1.0418,1.7347,2.4964,3.2583,3.9481,4.3562
TrendCyc,9,0.6024,1.021,1.722,2.5013,3.282,3.989,4.4074
AR,10,0.6263,1.0452,1.7352,2.5015,3.2659,3.9542,4.3666
TrendCyc,10,0.5877,1.0113,1.7172,2.4965,3.2801,3.9929,4.4098
AR,11,0.6279,1.0365,1.7328,2.4982,3.2637,3.956,4.3651
TrendCyc,11,0.5883,1.0103,1.7155,2.4959,3.2789,3.9966,4.4243
AR,12,0.6418,1.0472,1.7369,2.4958,3.2665,3.9639,4.3737
TrendCyc,12,0.575,0.9994,1.7089,2.4945,3.2823,3.9948,4.4246
AR,13,0.6302,1.0436,1.7341,2.5001,3.2693,3.9606,4.3795
TrendCyc,13,0.5556,0.9881,1.6966,2.4964,3.29,3.9932,4.4246
AR,14,0.6301,1.0433,1.7323,2.5009,3.2711,3.967,4.3851
TrendCyc,14,0.5576,0.9793,1.6959,2.496,3.2903,3.9986,4.4304
AR,15,0.6257,1.0289,1.7308,2.5052,3.2764,3.9557,4.3693
TrendCyc,15,0.5457,0.9746,1.697,2.4942,3.2946,4.0115,4.4386
AR,16,0.6409,1.0459,1.7384,2.5047,3.267,3.9603,4.3815
TrendCyc,16,0.5442,0.9723,1.6855,2.4886,3.2979,4.0184,4.4453
AR,17,0.6356,1.0484,1.736,2.5053,3.2711,3.9575,4.3545
TrendCyc,17,0.526,0.9635,1.6823,2.4944,3.2989,4.0182,4.4495
AR,18,0.6308,1.0457,1.736,2.4944,3.256,3.9532,4.3621
TrendCyc,18,0.5108,0.9633,1.6882,2.4927,3.3045,4.0334,4.4648
AR,19,0.6384,1.0455,1.7335,2.5024,3.27,3.9518,4.37
TrendCyc,19,0.5156,0.951,1.6801,2.4975,3.3147,4.0442,4.4727
AR,20,0.6274,1.0461,1.7375,2.5046,3.2642,3.9407,4.3458
TrendCyc,20,0.5113,0.9527,1.68,2.4922,3.3133,4.0431,4.4906
AR,21,0.643,1.0513,1.7373,2.4954,3.2621,3.9508,4.3556
TrendCyc,21,0.4944,0.9376,1.6743,2.5,3.3184,4.0505,4.4913
AR,22,0.6382,1.0519,1.738,2.5004,3.268,3.9545,4.3599
TrendCyc,22,0.4955,0.9344,1.6766,2.5072,3.3207,4.0526,4.4914
AR,23,0.6414,1.0452,1.7328,2.4986,3.2556,3.9501,4.3613
TrendCyc,23,0.5134,0.9461,1.6762,2.5027,3.3282,4.0612,4.5055
AR,24,0.6369,1.0532,1.7351,2.4917,3.2571,3.9519,4.3664
TrendCyc,24,0.4989,0.9403,1.6761,2.504,3.3296,4.0633,4.4987
AR,25,0.643,1.0517,1.7359,2.4999,3.2609,3.9528,4.3753
TrendCyc,25,0.4837,0.9242,1.6689,2.4997,3.3302,4.0688,4.5119
AR,26,0.6396,1.0465,1.7374,2.501,3.2616,3.9569,4.3824
TrendCyc,26,0.4791,0.9229,1.668,2.4997,3.3332,4.0804,4.5243
AR,27,0.6372,1.0443,1.7272,2.4968,3.2658,3.9565,4.3666
TrendCyc,27,0.4655,0.9114,1.6664,2.502,3.3353,4.084,4.5277
AR,28,0.6341,1.0393,1.7344,2.4996,3.2631,3.9515,4.3615
TrendCyc,28,0.4657,0.9044,1.6642,2.4978,3.3352,4.0859,4.5266
AR,29,0.6286,1.0455,1.7337,2.4973,3.2633,3.9491,4.3542
TrendCyc,29,0.4602,0.9029,1.6563,2.4952,3.3358,4.085,4.5414
AR,30,0.6303,1.0426,1.7306,2.5001,3.2613,3.9478,4.3598
TrendCyc,30,0.4574,0.9029,1.663,2.5011,3.3412,4.1082,4.5499
AR,31,0.6414,1.0544,1.7381,2.5055,3.2649,3.9523,4.3637
TrendCyc,31,0.449,0.8898,1.6523,2.4985,3.3405,4.0974,4.5504
AR,32,0.6348,1.046,1.7362,2.5051,3.2615,3.9536,4.3657
TrendCyc,32,0.4449,0.8947,1.6472,2.4989,3.3461,4.1049,4.5559
AR,33,0.6461,1.058,1.7435,2.4997,3.2642,3.9567,4.3706
TrendCyc,33,0.4296,0.8918,1.6531,2.4944,3.3413,4.1104,4.5753
AR,34,0.6318,1.0487,1.7365,2.5015,3.2706,3.9476,4.3634
TrendCyc,34,0.4276,0.8778,1.6481,2.4953,3.3438,4.1156,4.5805
AR,35,0.6246,1.0408,1.733,2.4946,3.2656,3.9596,4.3735
TrendCyc,35,0.4147,0.869,1.6449,2.4942,3.3483,4.1116,4.5796
AR,36,0.6359,1.0398,1.7323,2.5063,3.2637,3.956,4.3658
TrendCyc,36,0.402,0.8621,1.6362,2.4945,3.3579,4.125,4.5865
AR,37,0.6316,1.0416,1.7374,2.5038,3.2688,3.957,4.3667
TrendCyc,37,0.4084,0.8706,1.6389,2.4914,3.3621,4.1304,4.5962
AR,38,0.6296,1.0436,1.7346,2.5011,3.2717,3.9607,4.3701
TrendCyc,38,0.4047,0.871,1.6328,2.5003,3.3635,4.137,4.6056
AR,39,0.6353,1.0526,1.7367,2.5049,3.2702,3.9592,4.3763
TrendCyc,39,0.3903,0.8566,1.6335,2.4983,3.3615,4.1465,4.6179
AR,40,0.6387,1.0478,1.7423,2.5028,3.2689,3.9516,4.3566
TrendCyc,40,0.3917,0.8555,1.6397,2.5057,3.3655,4.1504,4.6306
AR,41,0.6268,1.045,1.7382,2.5019,3.2659,3.9473,4.3601
TrendCyc,41,0.3774,0.8532,1.6406,2.5016,3.3624,4.1465,4.612
AR,42,0.6283,1.0446,1.7362,2.5009,3.266,3.9504,4.3683
TrendCyc,42,0.3696,0.8358,1.6299,2.5015,3.3722,4.1489,4.6249
AR,43,0.6264,1.0447,1.7356,2.4926,3.2584,3.9465,4.3651
TrendCyc,43,0.363,0.8331,1.618,2.4971,3.3699,4.1635,4.6286
AR,44,0.6223,1.0368,1.7277,2.5033,3.2638,3.9475,4.3619
TrendCyc,44,0.3461,0.828,1.6179,2.4937,3.3725,4.16,4.6347
AR,45,0.6365,1.0429,1.7309,2.4972,3.2634,3.9533,4.3687
TrendCyc,45,0.3484,0.8158,1.6206,2.5002,3.3727,4.1699,4.6489
AR,46,0.6199,1.0395,1.7331,2.5005,3.27,3.9536,4.3681
TrendCyc,46,0.3414,0.8145,1.6094,2.4968,3.3817,4.1781,4.6569
AR,47,0.6258,1.0387,1.7308,2.4946,3.2601,3.951,4.3615
TrendCyc,47,0.3345,0.8141,1.6074,2.4937,3.3811,4.1808,4.6557
AR,48,0.6272,1.0368,1.7282,2.4945,3.2646,3.9517,4.3712
TrendCyc,48,0.3384,0.8098,1.6056,2.4923,3.3921,4.1959,4.6722
AR,49,0.625,1.0392,1.727,2.4942,3.265,3.9565,4.3662
TrendCyc,49,0.3247,0.7987,1.6044,2.4993,3.3905,4.1933,4.6789
AR,50,0.6273,1.0337,1.7243,2.4946,3.2621,3.9531,4.3666
TrendCyc,50,0.3198,0.7916,1.5987,2.494,3.3963,4.1954,4.6854
AR,51,0.6222,1.0359,1.734,2.4984,3.2596,3.9504,4.3716
TrendCyc,51,0.3121,0.7928,1.6028,2.495,3.3923,4.2016,4.6844
AR,52,0.6363,1.0394,1.7305,2.4974,3.2639,3.9543,4.3647
